Time t / s,Voltage U_1 / V
0.228,-0.0049995
0.23,-0.0049995
0.232,-0.0049995
0.234,-0.0049995
0.236,-0.0049995
0.238,-0.0049995
0.24,-0.0049995
0.242,-0.0049995
0.244,-0.0049995
0.246,-0.0049995
0.248,-0.0049995
0.25,-0.0049995
0.252,-0.0049995
0.254,-0.0049995
0.256,-0.0049995
0.258,-0.0049995
0.26,-0.0049995
0.262,-0.0049995
0.264,-0.0049995
0.266,-0.0049995
0.268,-0.0049995
0.27,-0.0049995
0.272,-0.0049995
0.274,-0.0049995
0.276,-0.0049995
0.278,-0.0049995
0.28,-0.0049995
0.282,-0.0049995
0.284,-0.0049995
0.286,-0.0049995
0.288,-0.0049995
0.29,-0.0049995
0.292,-0.0049995
0.294,-0.0049995
0.296,-0.0049995
0.298,-0.0049995
0.3,-0.0049995
0.302,-0.0049995
0.304,-0.0049995
0.306,-0.0049995
0.308,-0.0049995
0.31,0
0.312,0
0.314,-0.0049995
0.316,-0.0049995
0.318,-0.0049995
0.32,-0.0049995
0.322,-0.0049995
0.324,-0.0049995
0.326,0
0.328,-0.0049995
0.33,-0.0049995
0.332,-0.0049995
0.334,-0.0049995
0.336,-0.0049995
0.338,-0.0049995
0.34,-0.0049995
0.342,-0.0049995
0.344,-0.0049995
0.346,-0.0049995
0.348,-0.0049995
0.35,-0.0049995
0.352,-0.0049995
0.354,-0.0049995
0.356,-0.0049995
0.358,-0.0049995
0.36,-0.0049995
0.362,-0.0049995
0.364,-0.0049995
0.366,-0.0049995
0.368,-0.0049995
0.37,-0.0049995
0.372,-0.0049995
0.374,-0.0049995
0.376,-0.0049995
0.378,-0.0049995
0.38,-0.0049995
0.382,-0.0049995
0.384,-0.0049995
0.386,-0.0049995
0.388,-0.0049995
0.39,0
0.392,-0.0049995
0.394,-0.0049995
0.396,-0.0049995
0.398,-0.0049995
0.4,-0.0049995
0.402,-0.0049995
0.404,-0.0049995
0.406,-0.0049995
0.408,-0.0049995
0.41,-0.0049995
0.412,-0.0049995
0.414,-0.0049995
0.416,-0.0049995
0.418,-0.0049995
0.42,-0.0049995
0.422,-0.0049995
0.424,-0.0049995
0.426,-0.0049995
0.428,-0.0049995
0.43,-0.0049995
0.432,-0.0049995
0.434,-0.0049995
0.436,-0.0049995
0.438,-0.0049995
0.44,-0.0049995
0.442,-0.0049995
0.444,-0.0049995
0.446,-0.0049995
0.448,-0.0049995
0.45,0
0.452,-0.0049995
0.454,-0.0049995
0.456,-0.0049995
0.458,-0.0049995
0.46,-0.0049995
0.462,-0.0049995
0.464,-0.0049995
0.466,-0.0049995
0.468,-0.0049995
0.47,-0.0049995
0.472,-0.0049995
0.474,-0.0049995
0.476,-0.0049995
0.478,-0.0049995
0.48,-0.0049995
0.482,-0.0049995
0.484,-0.0049995
0.486,-0.0049995
0.488,-0.0049995
0.49,-0.0049995
0.492,-0.0049995
0.494,-0.0049995
0.496,-0.0049995
0.498,-0.0049995
0.5,-0.0049995
0.502,-0.0049995
0.504,-0.0049995
0.506,-0.0049995
0.508,0
0.51,-0.0049995
0.512,-0.0049995
0.514,-0.0049995
0.516,-0.0049995
0.518,-0.0049995
0.52,-0.0049995
0.522,-0.0049995
0.524,-0.0049995
0.526,-0.0049995
0.528,-0.0049995
0.53,-0.0049995
0.532,-0.0049995
0.534,-0.0049995
0.536,-0.0049995
0.538,-0.0049995
0.54,-0.0049995
0.542,-0.0049995
0.544,-0.0049995
0.546,-0.0049995
0.548,-0.0049995
0.55,-0.0049995
0.552,-0.0049995
0.554,-0.0049995
0.556,-0.0049995
0.558,-0.0049995
0.56,-0.0049995
0.562,-0.0049995
0.564,-0.0049995
0.566,-0.0049995
0.568,-0.0049995
0.57,-0.0049995
0.572,-0.0049995
0.574,-0.0049995
0.576,-0.0049995
0.578,-0.0049995
0.58,-0.0049995
0.582,-0.0049995
0.584,-0.0049995
0.586,-0.0049995
0.588,-0.0049995
0.59,-0.0049995
0.592,-0.0049995
0.594,-0.0049995
0.596,-0.0049995
0.598,0
0.6,-0.0049995
0.602,-0.0049995
0.604,-0.0049995
0.606,-0.0049995
0.608,-0.0049995
0.61,-0.0049995
0.612,-0.0049995
0.614,-0.0049995
0.616,-0.0049995
0.618,-0.0049995
0.62,-0.0049995
0.622,0
0.624,0
0.626,-0.0049995
0.628,-0.0049995
0.63,-0.0049995
0.632,0
0.634,-0.0049995
0.636,-0.0049995
0.638,-0.0049995
0.64,-0.0049995
0.642,-0.0049995
0.644,-0.0049995
0.646,-0.0049995
0.648,-0.0049995
0.65,-0.0049995
0.652,-0.0049995
0.654,-0.0049995
0.656,-0.0049995
0.658,-0.0049995
0.66,-0.0049995
0.662,-0.0049995
0.664,-0.0049995
0.666,0
0.668,-0.0049995
0.67,0
0.672,-0.0049995
0.674,0
0.676,-0.0049995
0.678,-0.0049995
0.68,-0.0049995
0.682,-0.0049995
0.684,-0.0049995
0.686,0
0.688,-0.0049995
0.69,-0.0049995
0.692,-0.0049995
0.694,-0.0049995
0.696,-0.0049995
0.698,-0.0049995
0.7,-0.0049995
0.702,-0.0049995
0.704,-0.0049995
0.706,-0.0049995
0.708,-0.0049995
0.71,-0.0049995
0.712,-0.0049995
0.714,-0.0049995
0.716,-0.0049995
0.718,0
0.72,-0.0049995
0.722,-0.0049995
0.724,-0.0049995
0.726,-0.0049995
0.728,-0.0049995
0.73,-0.0049995
0.732,0
0.734,-0.0049995
0.736,-0.0049995
0.738,-0.0049995
0.74,0
0.742,0
0.744,-0.0049995
0.746,-0.0049995
0.748,-0.0049995
0.75,-0.0049995
0.752,-0.0049995
0.754,-0.0049995
0.756,-0.0049995
0.758,-0.0049995
0.76,-0.0049995
0.762,-0.0049995
0.764,-0.0049995
0.766,-0.0049995
0.768,-0.0049995
0.77,-0.0049995
0.772,-0.0049995
0.774,-0.0049995
0.776,-0.0049995
0.778,-0.0049995
0.78,-0.0049995
0.782,-0.0049995
0.784,-0.0049995
0.786,-0.0049995
0.788,-0.0049995
0.79,-0.0049995
0.792,-0.0049995
0.794,-0.0049995
0.796,-0.0049995
0.798,-0.0049995
0.8,-0.0049995
0.802,-0.0049995
0.804,-0.0049995
0.806,-0.0049995
0.808,-0.0049995
0.81,-0.0049995
0.812,-0.0049995
0.814,0
0.816,-0.0049995
0.818,-0.0049995
0.82,-0.0049995
0.822,-0.0049995
0.824,-0.0049995
0.826,0
0.828,-0.0049995
0.83,-0.0049995
0.832,0
0.834,-0.0049995
0.836,-0.0049995
0.838,-0.0049995
0.84,-0.0049995
0.842,-0.0049995
0.844,0
0.846,-0.0049995
0.848,-0.0049995
0.85,-0.0049995
0.852,-0.0049995
0.854,-0.0049995
0.856,0
0.858,-0.0049995
0.86,-0.0049995
0.862,-0.0049995
0.864,-0.0049995
0.866,0
0.868,-0.0049995
0.87,-0.0049995
0.872,-0.0049995
0.874,-0.0049995
0.876,-0.0049995
0.878,-0.0049995
0.88,-0.0049995
0.882,-0.0049995
0.884,-0.0049995
0.886,-0.0049995
0.888,-0.0049995
0.89,0
0.892,-0.0049995
0.894,-0.0049995
0.896,-0.0049995
0.898,-0.0049995
0.9,-0.0049995
0.902,-0.0049995
0.904,-0.0049995
0.906,-0.0049995
0.908,-0.0049995
0.91,0
0.912,-0.0049995
0.914,-0.0049995
0.916,-0.0049995
0.918,-0.0049995
0.92,0
0.922,-0.0049995
0.924,-0.0049995
0.926,-0.0049995
0.928,-0.0049995
0.93,-0.0049995
0.932,-0.0049995
0.934,-0.0049995
0.936,-0.0049995
0.938,-0.0049995
0.94,-0.0049995
0.942,-0.0049995
0.944,-0.0049995
0.946,-0.0049995
0.948,-0.0049995
0.95,-0.0049995
0.952,-0.0049995
0.954,-0.0049995
0.956,-0.0049995
0.958,-0.0049995
0.96,-0.0049995
0.962,-0.0049995
0.964,-0.0049995
0.966,-0.0049995
0.968,-0.0049995
0.97,0
0.972,-0.0049995
0.974,-0.0049995
0.976,-0.0049995
0.978,-0.0049995
0.98,-0.0049995
0.982,-0.0049995
0.984,-0.0049995
0.986,-0.0049995
0.988,-0.0049995
0.99,-0.0049995
0.992,-0.0049995
0.994,-0.0049995
0.996,-0.0049995
0.998,-0.0049995
1,-0.0049995
1.002,0
1.004,-0.0049995
1.006,-0.0049995
1.008,-0.0049995
1.01,-0.0049995
1.012,-0.0049995
1.014,-0.0049995
1.016,-0.0049995
1.018,-0.0049995
1.02,-0.0049995
1.022,-0.0049995
1.024,-0.0049995
1.026,-0.0049995
1.028,-0.0049995
1.03,-0.0049995
1.032,0
1.034,-0.0049995
1.036,-0.0049995
1.038,-0.0049995
1.04,-0.0049995
1.042,-0.0049995
1.044,-0.0049995
1.046,-0.0049995
1.048,-0.0049995
1.05,-0.0049995
1.052,-0.0049995
1.054,-0.0049995
1.056,-0.0049995
1.058,-0.0049995
1.06,-0.0049995
1.062,-0.0049995
1.064,-0.0049995
1.066,-0.0049995
1.068,-0.0049995
1.07,-0.0049995
1.072,-0.0049995
1.074,-0.0049995
1.076,-0.0049995
1.078,0
1.08,-0.0049995
1.082,-0.0049995
1.084,-0.0049995
1.086,-0.0049995
1.088,-0.0049995
1.09,-0.0049995
1.092,-0.0049995
1.094,-0.0049995
1.096,-0.0049995
1.098,-0.0049995
1.1,-0.0049995
1.102,-0.0049995
1.104,-0.0049995
1.106,-0.0049995
1.108,-0.0049995
1.11,-0.0049995
1.112,-0.0049995
1.114,-0.0049995
1.116,-0.0049995
1.118,-0.0049995
1.12,-0.0049995
1.122,-0.0049995
1.124,-0.0049995
1.126,-0.0049995
1.128,-0.0049995
1.13,-0.0049995
1.132,0
1.134,-0.0049995
1.136,-0.0049995
1.138,-0.0049995
1.14,-0.0049995
1.142,-0.0049995
1.144,-0.0049995
1.146,0
1.148,-0.0049995
1.15,0
1.152,-0.0049995
1.154,-0.0049995
1.156,-0.0049995
1.158,-0.0049995
1.16,-0.0049995
1.162,-0.0049995
1.164,0
1.166,-0.0049995
1.168,-0.0049995
1.17,-0.0049995
1.172,-0.0049995
1.174,-0.0049995
1.176,-0.0049995
1.178,-0.0049995
1.18,-0.0049995
1.182,-0.0049995
1.184,-0.0049995
1.186,-0.0049995
1.188,-0.0049995
1.19,-0.0049995
1.192,-0.0049995
1.194,-0.0049995
1.196,-0.0049995
1.198,-0.0049995
1.2,-0.0049995
1.202,-0.0049995
1.204,-0.0049995
1.206,0
1.208,-0.0049995
1.21,-0.0049995
1.212,-0.0049995
1.214,-0.0049995
1.216,-0.0049995
1.218,-0.0049995
1.22,-0.0049995
1.222,-0.0049995
1.224,-0.0049995
1.226,-0.0049995
1.228,-0.0049995
1.23,-0.0049995
1.232,-0.0049995
1.234,-0.0049995
1.236,-0.0049995
1.238,-0.0049995
1.24,-0.0049995
1.242,-0.0049995
1.244,-0.0049995
1.246,-0.0049995
1.248,-0.0049995
1.25,-0.0049995
1.252,-0.0049995
1.254,-0.0049995
1.256,-0.0049995
1.258,-0.0049995
1.26,-0.0049995
1.262,-0.0049995
1.264,-0.0049995
1.266,-0.0049995
1.268,-0.0049995
1.27,0
1.272,0
1.274,-0.0049995
1.276,-0.0049995
1.278,0
1.28,-0.0049995
1.282,-0.0049995
1.284,-0.0049995
1.286,0
1.288,0
1.29,-0.0049995
1.292,-0.0049995
1.294,0
1.296,-0.0049995
1.298,-0.0049995
1.3,-0.0049995
1.302,-0.0049995
1.304,-0.0049995
1.306,-0.0049995
1.308,-0.0049995
1.31,-0.0049995
1.312,-0.0049995
1.314,-0.0049995
1.316,-0.0049995
1.318,-0.0049995
1.32,-0.0049995
1.322,-0.0049995
1.324,-0.0049995
1.326,-0.0049995
1.328,-0.0049995
1.33,-0.0049995
1.332,-0.0049995
1.334,-0.0049995
1.336,-0.0049995
1.338,-0.0049995
1.34,-0.0049995
1.342,-0.0049995
1.344,0
1.346,-0.0049995
1.348,-0.0049995
1.35,-0.0049995
1.352,-0.0049995
1.354,-0.0049995
1.356,-0.0049995
1.358,-0.0049995
1.36,0
1.362,-0.0049995
1.364,-0.0049995
1.366,-0.0049995
1.368,-0.0049995
1.37,-0.0049995
1.372,-0.0049995
1.374,-0.0049995
1.376,-0.0049995
1.378,-0.0049995
1.38,-0.0049995
1.382,-0.0049995
1.384,-0.0049995
1.386,-0.0049995
1.388,-0.0049995
1.39,0
1.392,-0.0049995
1.394,-0.0049995
1.396,-0.0049995
1.398,-0.0049995
1.4,-0.0049995
1.402,-0.0049995
1.404,-0.0049995
1.406,-0.0049995
1.408,-0.0049995
1.41,-0.0049995
1.412,-0.0049995
1.414,-0.0049995
1.416,0
1.418,-0.0049995
1.42,-0.0049995
1.422,-0.0049995
1.424,-0.0049995
1.426,-0.0049995
1.428,-0.0049995
1.43,-0.0049995
1.432,-0.0049995
1.434,-0.0049995
1.436,-0.0049995
1.438,-0.0049995
1.44,-0.0049995
1.442,-0.0049995
1.444,-0.0049995
1.446,-0.0049995
1.448,-0.0049995
1.45,-0.009999
1.452,-0.009999
1.454,-0.009999
1.456,-0.009999
1.458,-0.009999
1.46,-0.009999
1.462,-0.009999
1.464,-0.0049995
1.466,-0.009999
1.468,-0.009999
1.47,-0.009999
1.472,-0.009999
1.474,-0.009999
1.476,-0.009999
1.478,-0.009999
1.48,-0.009999
1.482,-0.009999
1.484,-0.009999
1.486,-0.009999
1.488,-0.009999
1.49,-0.009999
1.492,-0.0049995
1.494,-0.0049995
1.496,-0.009999
1.498,-0.0049995
1.5,-0.0049995
1.502,-0.0049995
1.504,-0.0049995
1.506,-0.0049995
1.508,-0.0049995
1.51,-0.0049995
1.512,-0.0049995
1.514,-0.0049995
1.516,-0.0049995
1.518,0
1.52,0
1.522,0
1.524,0
1.526,0
1.528,0
1.53,0
1.532,0
1.534,0
1.536,0
1.538,0
1.54,0.0049995
1.542,0.009999
1.544,0.009999
1.546,0.009999
1.548,0.009999
1.55,0.0149985
1.552,0.019998
1.554,0.019998
1.556,0.019998
1.558,0.0249975
1.56,0.0249975
1.562,0.0249975
1.564,0.029997
1.566,0.029997
1.568,0.0349965
1.57,0.0349965
1.572,0.039996
1.574,0.039996
1.576,0.039996
1.578,0.0449955
1.58,0.049995
1.582,0.049995
1.584,0.0549945
1.586,0.059994
1.588,0.0649935
1.59,0.069993
1.592,0.0749925
1.594,0.079992
1.596,0.079992
1.598,0.0849915
1.6,0.089991
1.602,0.0949905
1.604,0.1049895
1.606,0.109989
1.608,0.119988
1.61,0.129987
1.612,0.139986
1.614,0.149985
1.616,0.159984
1.618,0.169983
1.62,0.179982
1.622,0.1949805
1.624,0.209979
1.626,0.2249775
1.628,0.239976
1.63,0.2549745
1.632,0.269973
1.634,0.2949705
1.636,0.309969
1.638,0.3249675
1.64,0.3449655
1.642,0.3649635
1.644,0.3849615
1.646,0.4049595
1.648,0.419958
1.65,0.4349565
1.652,0.449955
1.654,0.4649535
1.656,0.479952
1.658,0.4849515
1.66,0.4949505
1.662,0.5049495
1.664,0.509949
1.666,0.519948
1.668,0.5249475
1.67,0.529947
1.672,0.539946
1.674,0.5449455
1.676,0.549945
1.678,0.5549445
1.68,0.559944
1.682,0.5749425
1.684,0.579942
1.686,0.5849415
1.688,0.5949405
1.69,0.6049395
1.692,0.6149385
1.694,0.629937
1.696,0.649935
1.698,0.669933
1.7,0.6949305
1.702,0.719928
1.704,0.7449255
1.706,0.769923
1.708,0.769923
1.71,0.7549245
1.712,0.739926
1.714,0.729927
1.716,0.7349265
1.718,0.7449255
1.72,0.759924
1.722,0.7849215
1.724,0.8149185
1.726,0.849915
1.728,0.8949105
1.73,0.949905
1.732,1.009899
1.734,1.079892
1.736,1.149885
1.738,1.2248775
1.74,1.2848715
1.742,1.3348665
1.744,1.339866
1.746,1.3148685
1.748,1.229877
1.75,1.09989
1.752,0.939906
1.754,0.759924
1.756,0.5849415
1.758,0.439956
1.76,0.3049695
1.762,0.0449955
1.764,-0.0849915
1.766,-0.029997
1.768,0.039996
1.77,0.0849915
1.772,0.1849815
1.774,0.29997
1.776,0.409959
1.778,0.5449455
1.78,0.739926
1.782,0.9999
1.784,1.2948705
1.786,1.589841
1.788,1.8348165
1.79,1.9748025
1.792,1.9998
1.794,1.9548045
1.796,1.8848115
1.798,1.819818
1.8,1.789821
1.802,1.809819
1.804,1.8148185
1.806,1.7648235
1.808,1.649835
1.81,1.579842
1.812,1.59984
1.814,1.679832
1.816,1.79982
1.818,1.959804
1.82,2.1347865
1.822,2.2647735
1.824,2.279772
1.826,2.089791
1.828,1.6848315
1.83,1.209879
1.832,0.789921
1.834,0.4049595
1.836,-0.0449955
1.838,-0.079992
1.84,0.0549945
1.842,0.2249775
1.844,0.4049595
1.846,0.6049395
1.848,0.8749125
1.85,1.2648735
1.852,1.729827
1.854,2.159784
1.856,2.4447555
1.858,2.459754
1.86,2.369763
1.862,2.239776
1.864,2.1547845
1.866,2.139786
1.868,2.209779
1.87,2.079792
1.872,1.8648135
1.874,1.829817
1.876,1.9048095
1.878,2.0447955
1.88,2.2447755
1.882,2.4547545
1.884,2.569743
1.886,2.4747525
1.888,2.1047895
1.89,1.5348465
1.892,0.9849015
1.894,0.3849615
1.896,-0.079992
1.898,-0.0549945
1.9,0.1149885
1.902,0.3349665
1.904,0.569943
1.906,0.869913
1.908,1.3148685
1.91,1.8748125
1.912,2.3747625
1.914,2.6647335
1.916,2.669733
1.918,2.5347465
1.92,2.389761
1.922,2.3247675
1.924,2.3647635
1.926,2.3647635
1.928,2.09979
1.93,2.009799
1.932,2.0747925
1.934,2.2447755
1.936,2.4847515
1.938,2.7247275
1.94,2.8247175
1.942,2.6047395
1.944,2.019798
1.946,1.3148685
1.948,0.739926
1.95,0.19998
1.952,-0.009999
1.954,0.0049995
1.956,0.0349965
1.958,0.629937
1.96,1.1548845
1.962,1.819818
1.964,2.569743
1.966,3.089691
1.968,3.159684
1.97,2.869713
1.972,1.269873
1.974,2.7247275
1.976,2.759724
1.978,2.4847515
1.98,2.309769
1.982,2.389761
1.984,2.609739
1.986,2.9147085
1.988,3.1346865
1.99,3.009699
1.992,2.4147585
1.994,1.569843
1.996,0.8449155
1.998,0.2349765
2,0.0349965
2.002,0.259974
2.004,0.09999
2.006,0.009999
2.008,1.539846
2.01,2.5747425
2.012,3.2746725
2.014,3.379662
2.016,3.1746825
2.018,2.9447055
2.02,2.3247675
2.022,2.79972
2.024,2.509749
2.026,2.479752
2.028,2.6447355
2.03,2.9447055
2.032,3.249675
2.034,3.259674
2.036,2.7447255
2.038,1.489851
2.04,0.349965
2.042,0.039996
2.044,0.019998
2.046,0.269973
2.048,0.1449855
2.05,0.959904
2.052,2.0047995
2.054,2.9747025
2.056,3.569643
2.058,3.549645
2.06,3.2646735
2.062,3.109689
2.064,3.219678
2.066,2.8447155
2.068,2.619738
2.07,2.7547245
2.072,3.069693
2.074,3.439656
2.076,3.519648
2.078,2.959704
2.08,1.919808
2.082,0.7749225
2.084,0.009999
2.086,0.059994
2.088,0.389961
2.09,0.3049695
2.092,1.139886
2.094,2.519748
2.096,3.5646435
2.098,3.5746425
2.1,3.489651
2.102,3.4346565
2.104,3.539646
2.106,3.0646935
2.108,2.919708
2.11,3.169683
2.112,3.6346365
2.114,4.009599
2.116,3.6346365
2.118,2.329767
2.12,0.9849015
2.122,-0.219978
2.124,0.1349865
2.126,0.339966
2.128,0.6449355
2.13,2.4747525
2.132,3.809619
2.134,4.3345665
2.136,4.0945905
2.138,1.789821
2.14,2.1747825
2.142,3.3346665
2.144,3.259674
2.146,3.6746325
2.148,4.19958
2.15,4.179582
2.152,2.989701
2.154,1.5048495
2.156,0.1249875
2.158,0.019998
2.16,0.7149285
2.162,1.409859
2.164,0.419958
2.166,4.4545545
2.168,4.6545345
2.17,3.859614
2.172,2.6547345
2.174,3.9146085
2.176,3.539646
2.178,3.9046095
2.18,4.4945505
2.182,4.4645535
2.184,3.139686
2.186,1.0448955
2.188,0.0449955
2.19,0.019998
2.192,0.0049995
2.194,-0.0049995
2.196,3.6246375
2.198,5.089491
2.2,4.5045495
2.202,4.549545
2.204,4.1045895
2.206,3.789621
2.208,4.2745725
2.21,4.9995
2.212,4.629537
2.214,2.629737
2.216,0.9149085
2.218,0.019998
2.22,0.3349665
2.222,1.019898
2.224,0.2549745
2.226,1.969803
2.228,3.1246875
2.23,2.1647835
2.232,4.2845715
2.234,4.0245975
2.236,4.4545545
2.238,5.09949
2.24,4.5445455
2.242,2.569743
2.244,0.0949905
2.246,-0.0849915
2.248,0.009999
2.25,-0.009999
2.252,2.9847015
2.254,5.4444555
2.256,4.9845015
2.258,4.719528
2.26,4.2945705
2.262,3.9546045
2.264,4.4945505
2.266,5.0544945
2.268,4.349565
2.27,2.3147685
2.272,0.7149285
2.274,0.0249975
2.276,0.6749325
2.278,0.849915
2.28,1.259874
2.282,3.679632
2.284,4.2745725
2.286,4.4745525
2.288,4.189581
2.29,3.9346065
2.292,4.4145585
2.294,5.0644935
2.296,4.3945605
2.298,2.419758
2.3,0.209979
2.302,0.049995
2.304,0.0349965
2.306,0.0849915
2.308,1.9048095
2.31,5.5044495
2.312,5.0444955
2.314,4.7145285
2.316,4.479552
2.318,4.0345965
2.32,4.5645435
2.322,5.109489
2.324,4.329567
2.326,2.3047695
2.328,0.6449355
2.33,0.039996
2.332,0.7549245
2.334,2.7147285
2.336,4.2645735
2.338,5.109489
2.34,4.929507
2.342,4.039596
2.344,3.9846015
2.346,4.249575
2.348,5.019498
2.35,5.3744625
2.352,3.549645
2.354,1.3348665
2.356,0.0449955
2.358,0.089991
2.36,0.009999
2.362,0.49995
2.364,2.929707
2.366,4.429557
2.368,4.2245775
2.37,2.9047095
2.372,1.3048695
2.374,1.9948005
2.376,2.7047295
2.378,2.5547445
2.38,1.419858
2.382,0.4449555
2.384,0.019998
2.386,1.2248775
2.388,3.4946505
2.39,0.949905
2.392,0.1649835
2.394,3.69963
2.396,4.639536
2.398,2.4747525
2.4,4.589541
2.402,5.4344565
2.404,4.9045095
2.406,2.3447655
2.408,0.0149985
2.41,0.0249975
2.412,0.0149985
2.414,0.149985
2.416,2.209779
2.418,5.429457
2.42,5.1344865
2.422,4.3545645
2.424,3.1646835
2.426,4.0545945
2.428,4.479552
2.43,4.0045995
2.432,2.3447655
2.434,0.469953
2.436,0.079992
2.438,0.2849715
2.44,0.0549945
2.442,5.1044895
2.444,5.6044395
2.446,5.1744825
2.448,4.959504
2.45,4.349565
2.452,5.0244975
2.454,5.7144285
2.456,4.39956
2.458,1.6848315
2.46,0.019998
2.462,0.1849815
2.464,1.739826
2.466,2.5947405
2.468,2.529747
2.47,5.59944
2.472,5.1244875
2.474,4.6845315
2.476,5.0144985
2.478,5.769423
2.48,4.7545245
2.482,2.2347765
2.484,0.379962
2.486,0.0249975
2.488,0.009999
2.49,0.029997
2.492,5.79942
2.494,5.629437
2.496,5.7344265
2.498,4.6145385
2.5,5.2144785
2.502,6.019398
2.504,4.339566
2.506,0.0449955
2.508,0.0249975
2.51,0.009999
2.512,0.0449955
2.514,2.4947505
2.516,6.1643835
2.518,4.6345365
2.52,3.9646035
2.522,4.679532
2.524,2.009799
2.526,3.619638
2.528,4.049595
2.53,0.939906
2.532,0.0549945
2.534,0.879912
2.536,0.179982
2.538,4.819518
2.54,5.9044095
2.542,5.3044695
2.544,5.3644635
2.546,4.3245675
2.548,4.669533
2.55,5.5044495
2.552,5.1644835
2.554,2.69973
2.556,0.7749225
2.558,0.0349965
2.56,0.019998
2.562,1.629837
2.564,5.029497
2.566,5.6844315
2.568,2.669733
2.57,0.0049995
2.572,2.5447455
2.574,4.849515
2.576,5.4844515
2.578,4.449555
2.58,2.1747825
2.582,0.3549645
2.584,0.039996
2.586,0.009999
2.588,3.7146285
2.59,5.8044195
2.592,5.4944505
2.594,0.2249775
2.596,4.5945405
2.598,4.3045695
2.6,4.9445055
2.602,5.4944505
2.604,4.2445755
2.606,1.609839
2.608,0.0949905
2.61,0.159984
2.612,0.1349865
2.614,0.19998
2.616,2.079792
2.618,4.409559
2.62,4.919508
2.622,4.539546
2.624,4.449555
2.626,3.879612
2.628,4.9545045
2.63,3.5546445
2.632,1.3448655
2.634,0.139986
2.636,0.019998
2.638,0.009999
2.64,4.909509
2.642,5.779422
2.644,4.9445055
2.646,1.339866
2.648,0.0349965
2.65,1.1548845
2.652,5.249475
2.654,4.179582
2.656,0.4149585
2.658,0.139986
2.66,0.0149985
2.662,0.669933
2.664,2.679732
2.666,5.0144985
2.668,5.7144285
2.67,5.269473
2.672,2.1347865
2.674,3.1746825
2.676,4.6445355
2.678,5.439456
2.68,4.979502
2.682,2.6447355
2.684,-0.3849615
2.686,0.0049995
2.688,0.3249675
2.69,3.319668
2.692,5.6244375
2.694,5.739426
2.696,4.549545
2.698,1.749825
2.7,4.479552
2.702,5.139486
2.704,5.619438
2.706,4.189581
2.708,1.259874
2.71,-0.189981
2.712,0.0249975
2.714,0.009999
2.716,3.6646335
2.718,6.059394
2.72,5.5744425
2.722,5.0744925
2.724,4.709529
2.726,5.3144685
2.728,5.9944005
2.73,4.2245775
2.732,0.3649635
2.734,0.019998
2.736,0.019998
2.738,2.6947305
2.74,0.0449955
2.742,0.749925
2.744,5.559444
2.746,5.3844615
2.748,4.689531
2.75,5.3944605
2.752,5.7344265
2.754,3.809619
2.756,1.0348965
2.758,0.0349965
2.76,0.519948
2.762,2.859714
2.764,5.5644435
2.766,5.9644035
2.768,1.9548045
